trackId                  ,name                                   ,danceability ,energy ,key ,loudness ,mode ,speechiness ,acousticness ,instrumentalness ,liveness ,valence ,tempo   ,type             ,id                       ,uri                                    ,track_href                                                 ,analysis_url                                                       ,duration_ms ,time_signature
"1xgT3Hn05j9ypY3lNuCfqc" ,"Into the Woods"                       ,       0.553 ,0.437  ,  0 ,-10.041  ,   1 ,     0.0325 ,    0.523    ,      0.000131   ,  0.051  , 0.104  ,121.063 ,"audio_features" ,"1xgT3Hn05j9ypY3lNuCfqc" ,"spotify:track:1xgT3Hn05j9ypY3lNuCfqc" ,"https://api.spotify.com/v1/tracks/1xgT3Hn05j9ypY3lNuCfqc" ,"https://api.spotify.com/v1/audio-analysis/1xgT3Hn05j9ypY3lNuCfqc" ,     262053 ,             4
"1XZeBXHGMqYVvVqeBe2QoS" ,"All in My Head"                       ,       0.391 ,0.803  ,  9 ,-5.16    ,   0 ,     0.0452 ,    0.026    ,      0.0407     ,  0.335  , 0.166  ,139.723 ,"audio_features" ,"1XZeBXHGMqYVvVqeBe2QoS" ,"spotify:track:1XZeBXHGMqYVvVqeBe2QoS" ,"https://api.spotify.com/v1/tracks/1XZeBXHGMqYVvVqeBe2QoS" ,"https://api.spotify.com/v1/audio-analysis/1XZeBXHGMqYVvVqeBe2QoS" ,     264850 ,             4
"1zlgJFFI9jNGVFeAMOIoxt" ,"Red Light"                            ,       0.56  ,0.578  ,  3 ,-6.674   ,   0 ,     0.0235 ,    0.0724   ,      0.428      ,  0.167  , 0.239  , 97.99  ,"audio_features" ,"1zlgJFFI9jNGVFeAMOIoxt" ,"spotify:track:1zlgJFFI9jNGVFeAMOIoxt" ,"https://api.spotify.com/v1/tracks/1zlgJFFI9jNGVFeAMOIoxt" ,"https://api.spotify.com/v1/audio-analysis/1zlgJFFI9jNGVFeAMOIoxt" ,     325000 ,             4
"27BrerRuQ8H2nqXuiKtBah" ,"The Day I Die"                        ,       0.643 ,0.542  ,  6 ,-6.11    ,   0 ,     0.0291 ,    0.0363   ,      0.000183   ,  0.0553 , 0.64   ,132.164 ,"audio_features" ,"27BrerRuQ8H2nqXuiKtBah" ,"spotify:track:27BrerRuQ8H2nqXuiKtBah" ,"https://api.spotify.com/v1/tracks/27BrerRuQ8H2nqXuiKtBah" ,"https://api.spotify.com/v1/audio-analysis/27BrerRuQ8H2nqXuiKtBah" ,     202960 ,             4
"2BkyYZmU4JuWW2sYi9EzpC" ,"7 Minutes"                            ,       0.614 ,0.739  , 10 ,-6.478   ,   1 ,     0.0314 ,    0.526    ,      0          ,  0.149  , 0.711  ,104.955 ,"audio_features" ,"2BkyYZmU4JuWW2sYi9EzpC" ,"spotify:track:2BkyYZmU4JuWW2sYi9EzpC" ,"https://api.spotify.com/v1/tracks/2BkyYZmU4JuWW2sYi9EzpC" ,"https://api.spotify.com/v1/audio-analysis/2BkyYZmU4JuWW2sYi9EzpC" ,     211453 ,             4
"2BVxCW4Yry9SaMVETrybRR" ,"God Forgive"                          ,       0.434 ,0.789  ,  2 ,-5.275   ,   1 ,     0.0421 ,    0.0928   ,      0.00368    ,  0.117  , 0.371  ,119.097 ,"audio_features" ,"2BVxCW4Yry9SaMVETrybRR" ,"spotify:track:2BVxCW4Yry9SaMVETrybRR" ,"https://api.spotify.com/v1/tracks/2BVxCW4Yry9SaMVETrybRR" ,"https://api.spotify.com/v1/audio-analysis/2BVxCW4Yry9SaMVETrybRR" ,     278360 ,             4
"2jdAk8ATWIL3dwT47XpRfu" ,"Slow Dancing in a Burning Room"       ,       0.667 ,0.361  ,  1 ,-8.69    ,   0 ,     0.0273 ,    0.575    ,      0.00506    ,  0.0805 , 0.29   ,134.018 ,"audio_features" ,"2jdAk8ATWIL3dwT47XpRfu" ,"spotify:track:2jdAk8ATWIL3dwT47XpRfu" ,"https://api.spotify.com/v1/tracks/2jdAk8ATWIL3dwT47XpRfu" ,"https://api.spotify.com/v1/audio-analysis/2jdAk8ATWIL3dwT47XpRfu" ,     242000 ,             5
"2K28PAjVBhB6jOUVyj7PLT" ,"When It Hurts You"                    ,       0.578 ,0.797  ,  2 ,-4.854   ,   1 ,     0.0305 ,    0.332    ,      0.0456     ,  0.274  , 0.406  ,100.995 ,"audio_features" ,"2K28PAjVBhB6jOUVyj7PLT" ,"spotify:track:2K28PAjVBhB6jOUVyj7PLT" ,"https://api.spotify.com/v1/tracks/2K28PAjVBhB6jOUVyj7PLT" ,"https://api.spotify.com/v1/audio-analysis/2K28PAjVBhB6jOUVyj7PLT" ,     293360 ,             4
"2lxBZVbkiCXC1soks2RXwV" ,"Love Like This"                       ,       0.637 ,0.14   ,  2 ,-11.472  ,   1 ,     0.0407 ,    0.903    ,      0          ,  0.107  , 0.392  ,139.78  ,"audio_features" ,"2lxBZVbkiCXC1soks2RXwV" ,"spotify:track:2lxBZVbkiCXC1soks2RXwV" ,"https://api.spotify.com/v1/tracks/2lxBZVbkiCXC1soks2RXwV" ,"https://api.spotify.com/v1/audio-analysis/2lxBZVbkiCXC1soks2RXwV" ,     214240 ,             4
"2msdr19RehOAL1RTTRwfCg" ,"Wellington"                           ,       0.617 ,0.85   ,  4 ,-4.643   ,   1 ,     0.0512 ,    0.0358   ,      0          ,  0.273  , 0.442  ,120.022 ,"audio_features" ,"2msdr19RehOAL1RTTRwfCg" ,"spotify:track:2msdr19RehOAL1RTTRwfCg" ,"https://api.spotify.com/v1/tracks/2msdr19RehOAL1RTTRwfCg" ,"https://api.spotify.com/v1/audio-analysis/2msdr19RehOAL1RTTRwfCg" ,     211123 ,             4
"2rBIC9Uc5qZeBjJvWulFTN" ,"Fire"                                 ,       0.655 ,0.424  ,  9 ,-9.389   ,   1 ,     0.029  ,    0.676    ,      0.0114     ,  0.0994 , 0.666  ,144.047 ,"audio_features" ,"2rBIC9Uc5qZeBjJvWulFTN" ,"spotify:track:2rBIC9Uc5qZeBjJvWulFTN" ,"https://api.spotify.com/v1/tracks/2rBIC9Uc5qZeBjJvWulFTN" ,"https://api.spotify.com/v1/audio-analysis/2rBIC9Uc5qZeBjJvWulFTN" ,     189600 ,             4
"2smpiAZfaN0GFi15MqAq6E" ,"Stay Awake"                           ,       0.723 ,0.83   , 11 ,-7.123   ,   0 ,     0.0454 ,    0.334    ,      0.0000423  ,  0.0931 , 0.582  ,106.027 ,"audio_features" ,"2smpiAZfaN0GFi15MqAq6E" ,"spotify:track:2smpiAZfaN0GFi15MqAq6E" ,"https://api.spotify.com/v1/tracks/2smpiAZfaN0GFi15MqAq6E" ,"https://api.spotify.com/v1/audio-analysis/2smpiAZfaN0GFi15MqAq6E" ,     185400 ,             4
"35RrDnREM1xxx4YBxDHikm" ,"I Will Always Be Yours"               ,       0.444 ,0.771  ,  0 ,-4.607   ,   1 ,     0.0485 ,    0.13     ,      0          ,  0.273  , 0.45   ,148.028 ,"audio_features" ,"35RrDnREM1xxx4YBxDHikm" ,"spotify:track:35RrDnREM1xxx4YBxDHikm" ,"https://api.spotify.com/v1/tracks/35RrDnREM1xxx4YBxDHikm" ,"https://api.spotify.com/v1/audio-analysis/35RrDnREM1xxx4YBxDHikm" ,     226827 ,             4
"37kLxS3IntmCnoE4a5XMKy" ,"Growing Up"                           ,       0.756 ,0.568  , 11 ,-7.847   ,   1 ,     0.0265 ,    0.212    ,      0.0000355  ,  0.181  , 0.667  ,114.976 ,"audio_features" ,"37kLxS3IntmCnoE4a5XMKy" ,"spotify:track:37kLxS3IntmCnoE4a5XMKy" ,"https://api.spotify.com/v1/tracks/37kLxS3IntmCnoE4a5XMKy" ,"https://api.spotify.com/v1/audio-analysis/37kLxS3IntmCnoE4a5XMKy" ,     189931 ,             4
