index,id,artist,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
57,124KRi7jkm9Skq89xIK28V,NEEDTOBREATHE,"I Wanna Remember (feat. Carrie Underwood)",0.466,0.708,9,-6.379,1,0.041,0.179,0.000138,0.116,0.1,97.991,213857,4
58,0ulLs8vN4SBtVHc5KDAamV,The Paper Kites,"Revelator Eyes",0.52,0.706,8,-8.989,1,0.0299,0.109,0.026,0.174,0.587,153.027,262267,4
59,4APVVf3tigYrkWKY9CA5SF,Andreas Moe,"Ocean (Take the Dive)",0.569,0.7,1,-7.761,0,0.0297,0.402,0,0.273,0.779,93.019,206080,4
60,1ySdKj9IbvIRCyjPBe6NpV,Christopher,"Ghost",0.672,0.698,9,-6.873,1,0.0423,0.0522,0,0.319,0.293,141.979,193119,4
61,4T6FWA703h6H7zk1FoSARw,John Mayer,"New Light",0.826,0.694,7,-7.862,1,0.0315,0.316,0.0285,0.074,0.852,123.932,217427,4
62,4MYUnIBcd3NsQbPJm6RGRZ,The Paper Kites,"Electric Indigo",0.575,0.694,1,-8.034,1,0.0345,0.12,0.196,0.107,0.704,95.999,223520,4
63,72NfA7H7MNNRivi623c34g,Andreas Moe,"Holding On",0.625,0.693,4,-9.14,1,0.0304,0.761,0.00225,0.0759,0.865,153.048,167551,4
64,5Ms8gtJUCzJ4IVWd7gCSR6,Ben Rector,"Wherever You Are",0.441,0.692,1,-5.079,1,0.0456,0.0669,0,0.084,0.251,155.832,197209,4
65,06voX63M9lLDmlIt2zrHpe,Jordy Searcy,"Daylight",0.776,0.687,0,-7.089,1,0.107,0.526,0.000178,0.115,0.904,147.036,205067,4
66,2oZsDq0pwp9yLgHGoI2Y5F,Wallows,"Are You Bored Yet? (feat. Clairo)",0.681,0.683,8,-6.444,0,0.0287,0.158,0.0000232,0.273,0.64,120.027,178000,4
67,7bcnTUSnxnt30Y4ynLCQ6T,Ben Rector,"We Will Never Be This Young Again",0.669,0.683,1,-6.179,0,0.0347,0.0315,0.0000463,0.0442,0.318,107.957,214733,4
68,34PTkw8vVXf3jSy9G4KcKo,The Paper Kites,"Woke Up From a Dream",0.515,0.683,7,-6.629,1,0.0278,0.0841,0.00908,0.0742,0.438,121.147,285453,4
69,12rcsuv4QgpfAGlYaYj43c,ISLAND,"We Can Go Anywhere",0.371,0.682,9,-5.396,1,0.0313,0.122,0.00967,0.0857,0.322,127.292,375107,4
70,6e98Eg40UdsdXqnfamel4E,The Magic Gang,"Feeling Better",0.807,0.679,0,-5.421,1,0.0325,0.143,0.0113,0.0837,0.634,124.577,185455,3
71,6r4jouSQy2Hl77pwMwChcM,Ben Rector,"Thank You",0.621,0.676,9,-6.982,1,0.0581,0.43,0,0.272,0.531,91.06,239200,4
72,5J7zqPpQkN9JZiaELHNKSL,Vance Joy,"We're Going Home",0.386,0.675,4,-5.481,0,0.0424,0.323,0.00000368,0.14,0.429,189.894,206360,4
73,3BRztJrZyWFwaRP6VYNsA1,The National Parks,"At the Heart",0.572,0.67,8,-6.987,1,0.0427,0.0102,0.0000344,0.0705,0.293,135.979,204231,4
74,4gYJWH66QxTo87XlVFtziu,ISLAND,"Try",0.63,0.669,6,-7.591,1,0.0392,0.331,0.00175,0.117,0.56,102.791,245947,4
75,2z74tRiKWd5Yv6d3qbNUCy,The Lumineers,"Holdin' Out",0.479,0.669,11,-11.301,1,0.0393,0.185,0.0262,0.103,0.336,113.027,186520,4
76,7oekneJCJO74ycdLzdk16v,Vance Joy,"Lay It on Me",0.733,0.663,5,-5.766,1,0.0322,0.101,0.00000698,0.0694,0.53,127.974,215493,4
77,4G1wFvcZmoMvItaRTxAGao,Alex Aiono,"Happy Ending",0.616,0.661,8,-7.179,1,0.142,0.459,0,0.306,0.603,105.121,237080,4
78,6dIZb64N6ICAWrf1RJrKfB,Dean Lewis,"Hold Of Me",0.596,0.658,5,-7.856,1,0.0608,0.0741,0,0.123,0.419,142.979,202893,4
79,77Y57qRJBvkGCUw9qs0qMg,John Mayer,"In the Blood",0.546,0.655,8,-6.526,1,0.0255,0.386,0.0000104,0.0983,0.518,80.007,243667,4
80,1BrU8tQjSCR2kEkouF0ldN,ISLAND,"Horizon",0.492,0.655,2,-8.195,1,0.0293,0.0838,0.388,0.126,0.409,94.309,193493,4
81,7xT7S9uNrRkYTl4U4xps4M,The Paper Kites,"Give Me Your Fire,Give Me Your Rain",0.526,0.654,2,-4.407,1,0.0328,0.123,0.0918,0.248,0.739,78.02,212200,4
82,783ICUdmtVQgg1meszkCfS,Passenger,"If You Go",0.366,0.645,9,-7.078,1,0.0508,0.134,0,0.281,0.499,180.343,224871,3
83,3xMwMtR0Z30FF8HlQ09wWE,Andreas Moe,"Free Fall",0.662,0.643,4,-7.215,1,0.0331,0.386,0,0.139,0.599,123.998,178098,4
84,66zJFuhki4Yaskr20Yo0eH,BANNERS,"Serenade",0.711,0.642,0,-6.68,1,0.0499,0.112,0,0.123,0.308,120.055,217493,4
85,3pVfjLi9msLtXG1h5yNn4d,Jordy Searcy,"Dark in the City",0.635,0.642,7,-7.789,1,0.0356,0.158,0.000064,0.223,0.39,93.245,212269,4
86,3tbJoFjD9ea2TRMsbf0z0H,Charlie Finch,"Stay the Winter",0.723,0.639,7,-7.422,1,0.0412,0.112,0,0.517,0.686,120.028,179849,4
87,5MFW5SOyi2uPppqJib5pVw,Jordy Searcy,"I Don’t Think You Love Me",0.451,0.632,0,-6.592,1,0.0964,0.625,0,0.436,0.395,135.824,192147,4
88,4VNu1KwwmGgHjImpQotEsn,Dean Lewis,"Straight Back Down",0.671,0.628,5,-7.114,1,0.0419,0.294,0,0.062,0.466,114.887,205347,4
89,7CEIn4lDK1nZQRfc6XVTqU,The Script,"The Last Time - Acoustic",0.627,0.628,5,-5.111,1,0.0295,0.102,0,0.121,0.296,132.021,196534,4
90,09yBr7jcbBNt8FCnC6Txcu,The National Parks,"Coração",0.498,0.624,3,-6.447,1,0.0399,0.0248,0.000443,0.102,0.437,130.052,229427,4
91,1kEM39SfejDKRNwrWLkISI,Andreas Moe,"Frozen River",0.636,0.623,7,-11.438,1,0.0438,0.581,0.000171,0.122,0.399,109.04,228160,4
92,5sHlU2ejWIzJDHgSrwSxx6,Passenger,"Anywhere",0.598,0.622,7,-6.948,1,0.0285,0.0959,0.0000804,0.0934,0.824,104.497,216207,4
93,41Va4mcT3GyKVu6u6LoLJ6,Charlie Finch,"The Chase",0.68,0.621,8,-8.6,1,0.03,0.00988,0.0117,0.107,0.358,135.012,240634,4
94,7k89nEaNK54kLKXHFbERzQ,Rubber Duc,"Down on My Knees",0.735,0.62,0,-7.676,1,0.0513,0.0715,0,0.0953,0.342,104.002,230635,4
95,3DJRR3CAwbu3m0azA7DHzL,Jordy Searcy,"Mirror Girl",0.606,0.619,11,-6.866,1,0.0751,0.337,0,0.299,0.552,97.188,178000,4
96,4GonX4H1a5XivVwdqZ1Hzo,The Paper Kites,"I'm Lying to You Cause I'm Lost",0.536,0.619,7,-6.758,1,0.0251,0.037,0.232,0.287,0.607,112.08,212707,4
97,6CFkHFZqvv5LTTzDGggLP6,Charlie Finch,"Life's Journey",0.722,0.618,9,-8.631,1,0.0384,0.0115,0.0000394,0.112,0.756,123.021,203815,4
98,3aA1dyHSCU6obV2HgARNdX,Ben Rector,"Daughter",0.626,0.612,11,-7.814,1,0.261,0.13,0.00000149,0.282,0.505,75.123,224853,4
99,4nWoYN8aF05BZgeMj7sbnp,Ben Rector,"What Makes a Man",0.558,0.605,9,-6.089,1,0.0303,0.353,0,0.177,0.305,89.846,210617,4
100,3up9PVg6BatOruFRxi4oLY,Jordy Searcy,"Rich",0.646,0.6,10,-9.06,1,0.031,0.492,0.000179,0.196,0.667,103.987,184120,4
101,77kB9ndJCAwkZk1k0i8igr,ISLAND,"Moth",0.488,0.597,11,-5.505,1,0.0292,0.0553,0.00000558,0.0811,0.33,118.32,221360,4
102,5NffPhg2C8T8GM8WTMvADQ,The Paper Kites,"Willow Tree March",0.602,0.592,4,-9.23,0,0.0481,0.282,0.0011,0.25,0.342,120.079,276813,4
103,2fipF2hExZjd8qLCFQBpJa,Ben Rector,"Hanging out (feat. Kenny G)",0.429,0.591,8,-7.531,1,0.051,0.268,0.000179,0.109,0.253,77.707,233173,4
104,5bZeugrr7oIATt1CLJuhT4,James TW,"Incredible",0.555,0.589,0,-6.209,1,0.043,0.306,0,0.147,0.264,180.937,246320,3
105,4lzyue8f0NOU3xSpm0CVgV,The National Parks,"Young",0.53,0.589,7,-9.074,1,0.0317,0.155,0.00000955,0.162,0.626,152.95,213347,4
106,031tI90Tz4hlhPmvi3djr0,Ben Rector,"It Would Be You",0.655,0.587,1,-8.736,1,0.045,0.26,0.00000607,0.0953,0.521,91.494,219067,4
107,0roPf0bwAsBDZv1bR15m15,Ben Rector,"It Would Be You",0.655,0.587,1,-8.736,1,0.045,0.26,0.00000607,0.0953,0.521,91.494,219067,4
108,1rjg4eh7GNbiTJIVrwqSTR,Jordy Searcy,"Shoulda Been In A Band",0.502,0.586,7,-5.769,1,0.0789,0.324,0.0000198,0.0808,0.368,145.262,258280,4
109,2TmhGoQFEc0Pr43v9Ub9Rd,Caitlyn Smith,"Lately",0.537,0.581,2,-4.49,1,0.0248,0.492,0.00215,0.101,0.102,90.967,207396,4
110,3ZUPnClu1aKF2Fmt7cFsLP,The Paper Kites,"Mess We Made",0.482,0.58,6,-6.535,0,0.0354,0.398,0.0757,0.106,0.299,110.633,312533,5
111,1zlgJFFI9jNGVFeAMOIoxt,The Paper Kites,"Red Light",0.56,0.578,3,-6.674,0,0.0235,0.0724,0.428,0.167,0.239,97.99,325000,4
112,5YjnnWg091lEmPrTSTLHgc,Ben Rector,"Beautiful",0.608,0.573,1,-6.869,1,0.0309,0.00503,0.00000164,0.121,0.265,105.036,239387,4
113,22GUd9JOxhSidGguHxf3Nu,George Ezra,"All My Love",0.449,0.571,0,-5.206,1,0.0503,0.135,0,0.279,0.656,173.73,160951,4
114,4jA0Ol7OXOMt2ZCHNiEVMU,Emily James,"Happy for Me",0.666,0.57,7,-5.476,1,0.0448,0.328,0,0.115,0.419,132.002,184467,4
115,2VDKSRDTpqWgczc33Lk9h5,The National Parks,"As We Ran",0.414,0.569,9,-7.02,1,0.0351,0.0179,0.00972,0.374,0.178,143.958,200322,4
